Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Gävleborgs län;30­34;0;0
2015;Gävleborgs län;35­39;0;0
2015;Gävleborgs län;40­44;0;0
2015;Gävleborgs län;45­49;0;2
2015;Gävleborgs län;50­54;1;3
2015;Gävleborgs län;55­59;1;4
2015;Gävleborgs län;60­64;1;3
2015;Gävleborgs län;65­69;6;6
2015;Gävleborgs län;70­74;15;12
2015;Gävleborgs län;75­79;18;6
2015;Gävleborgs län;80­84;17;11
2015;Gävleborgs län;85+;22;25
2015;Västernorrlands län;0­4;0;0
2015;Västernorrlands län;5­9;0;0
2015;Västernorrlands län;10­14;0;0
2015;Västernorrlands län;15­19;0;0
2015;Västernorrlands län;20­24;0;0
2015;Västernorrlands län;25­29;0;0
2015;Västernorrlands län;30­34;0;1
2015;Västernorrlands län;35­39;0;0
2015;Västernorrlands län;40­44;0;0
2015;Västernorrlands län;45­49;0;0
2015;Västernorrlands län;50­54;1;1
2015;Västernorrlands län;55­59;1;0
2015;Västernorrlands län;60­64;3;0
2015;Västernorrlands län;65­69;10;2
2015;Västernorrlands län;70­74;8;5
2015;Västernorrlands län;75­79;19;3
2015;Västernorrlands län;80­84;13;6
2015;Västernorrlands län;85+;14;10
2015;Jämtlands län;0­4;0;0
2015;Jämtlands län;5­9;0;0
2015;Jämtlands län;10­14;0;0
2015;Jämtlands län;15­19;0;0
2015;Jämtlands län;20­24;0;0
2015;Jämtlands län;25­29;0;0
2015;Jämtlands län;30­34;0;0
2015;Jämtlands län;35­39;0;0
2015;Jämtlands län;40­44;0;0
2015;Jämtlands län;45­49;0;0
2015;Jämtlands län;50­54;0;0
2015;Jämtlands län;55­59;1;0
2015;Jämtlands län;60­64;2;1
2015;Jämtlands län;65­69;1;3
2015;Jämtlands län;70­74;7;0
2015;Jämtlands län;75­79;5;1
2015;Jämtlands län;80­84;5;5
2015;Jämtlands län;85+;7;9
2015;Västerbottens län;0­4;0;0
2015;Västerbottens län;5­9;0;0
2015;Västerbottens län;10­14;0;0
2015;Västerbottens län;15­19;0;0
2015;Västerbottens län;20­24;0;0
2015;Västerbottens län;25­29;0;0
2015;Västerbottens län;30­34;0;0
2015;Västerbottens län;35­39;0;1
2015;Västerbottens län;40­44;0;0
2015;Västerbottens län;45­49;0;0
