"","years","age","counties","cases","sexInd"
"431",2014,"80-84","Stockholm",822.64,"Men"
"432",2014,"85+","Stockholm",1322.72,"Men"
"433",2014,"0-4","Uppsala",0,"Men"
"434",2014,"5-9","Uppsala",0,"Men"
"435",2014,"10-14","Uppsala",0,"Men"
"436",2014,"15-19","Uppsala",0,"Men"
"437",2014,"20-24","Uppsala",0,"Men"
"438",2014,"25-29","Uppsala",0,"Men"
"439",2014,"30-34","Uppsala",0,"Men"
"440",2014,"35-39","Uppsala",0,"Men"
"441",2014,"40-44","Uppsala",0,"Men"
"442",2014,"45-49","Uppsala",17.21,"Men"
"443",2014,"50-54","Uppsala",19.13,"Men"
"444",2014,"55-59","Uppsala",49.82,"Men"
"445",2014,"60-64","Uppsala",41.02,"Men"
"446",2014,"65-69","Uppsala",113.23,"Men"
"447",2014,"70-74","Uppsala",258.88,"Men"
"448",2014,"75-59","Uppsala",615.57,"Men"
"449",2014,"80-84","Uppsala",653.7,"Men"
"450",2014,"85+","Uppsala",1015.04,"Men"
"451",2014,"0-4","Södermanland",0,"Men"
"452",2014,"5-9","Södermanland",0,"Men"
"453",2014,"10-14","Södermanland",0,"Men"
"454",2014,"15-19","Södermanland",0,"Men"
"455",2014,"20-24","Södermanland",0,"Men"
"456",2014,"25-29","Södermanland",0,"Men"
"457",2014,"30-34","Södermanland",0,"Men"
"458",2014,"35-39","Södermanland",0,"Men"
"459",2014,"40-44","Södermanland",0,"Men"
"460",2014,"45-49","Södermanland",10.05,"Men"
"461",2014,"50-54","Södermanland",22.1,"Men"
"462",2014,"55-59","Södermanland",23.31,"Men"
"463",2014,"60-64","Södermanland",68.58,"Men"
"464",2014,"65-69","Södermanland",61.21,"Men"
"465",2014,"70-74","Södermanland",223.39,"Men"
"466",2014,"75-59","Södermanland",239.83,"Men"
"467",2014,"80-84","Södermanland",584.44,"Men"
"468",2014,"85+","Södermanland",865.64,"Men"
"469",2014,"0-4","Östergötland",0,"Men"
"470",2014,"5-9","Östergötland",0,"Men"
"471",2014,"10-14","Östergötland",0,"Men"
"472",2014,"15-19","Östergötland",0,"Men"
"473",2014,"20-24","Östergötland",0,"Men"
"474",2014,"25-29","Östergötland",0,"Men"
"475",2014,"30-34","Östergötland",0,"Men"
"476",2014,"35-39","Östergötland",0,"Men"
"477",2014,"40-44","Östergötland",0,"Men"
"478",2014,"45-49","Östergötland",6.54,"Men"
"479",2014,"50-54","Östergötland",14.52,"Men"
"480",2014,"55-59","Östergötland",46,"Men"
"481",2014,"60-64","Östergötland",77.34,"Men"
"482",2014,"65-69","Östergötland",147.19,"Men"
"483",2014,"70-74","Östergötland",295,"Men"
"484",2014,"75-59","Östergötland",420.85,"Men"
"485",2014,"80-84","Östergötland",847.72,"Men"
"486",2014,"85+","Östergötland",1304.09,"Men"
"487",2014,"0-4","Jönköping",0,"Men"
"488",2014,"5-9","Jönköping",0,"Men"
"489",2014,"10-14","Jönköping",0,"Men"
"490",2014,"15-19","Jönköping",0,"Men"
"491",2014,"20-24","Jönköping",0,"Men"
"492",2014,"25-29","Jönköping",0,"Men"
"493",2014,"30-34","Jönköping",0,"Men"
"494",2014,"35-39","Jönköping",0,"Men"
"495",2014,"40-44","Jönköping",0,"Men"
"496",2014,"45-49","Jönköping",16.28,"Men"
"497",2014,"50-54","Jönköping",9.1,"Men"
"498",2014,"55-59","Jönköping",9.51,"Men"
"499",2014,"60-64","Jönköping",59.03,"Men"
"500",2014,"65-69","Jönköping",111.59,"Men"
"501",2014,"70-74","Jönköping",370.03,"Men"
"502",2014,"75-59","Jönköping",577.2,"Men"
"503",2014,"80-84","Jönköping",659.15,"Men"
"504",2014,"85+","Jönköping",1450.27,"Men"
"505",2014,"0-4","Kronoberg",0,"Men"
"506",2014,"5-9","Kronoberg",0,"Men"
"507",2014,"10-14","Kronoberg",0,"Men"
"508",2014,"15-19","Kronoberg",0,"Men"
"509",2014,"20-24","Kronoberg",14.12,"Men"
"510",2014,"25-29","Kronoberg",0,"Men"
"511",2014,"30-34","Kronoberg",0,"Men"
"512",2014,"35-39","Kronoberg",0,"Men"
"513",2014,"40-44","Kronoberg",0,"Men"
"514",2014,"45-49","Kronoberg",0,"Men"
"515",2014,"50-54","Kronoberg",34.52,"Men"
"516",2014,"55-59","Kronoberg",17.71,"Men"
"517",2014,"60-64","Kronoberg",68.04,"Men"
"518",2014,"65-69","Kronoberg",196.27,"Men"
"519",2014,"70-74","Kronoberg",342.91,"Men"
"520",2014,"75-59","Kronoberg",587.42,"Men"
"521",2014,"80-84","Kronoberg",563.75,"Men"
"522",2014,"85+","Kronoberg",1597.37,"Men"
"523",2014,"0-4","Kalmar",0,"Men"
"524",2014,"5-9","Kalmar",0,"Men"
"525",2014,"10-14","Kalmar",0,"Men"
"526",2014,"15-19","Kalmar",0,"Men"
"527",2014,"20-24","Kalmar",0,"Men"
"528",2014,"25-29","Kalmar",0,"Men"
"529",2014,"30-34","Kalmar",0,"Men"
"530",2014,"35-39","Kalmar",15.82,"Men"
"531",2014,"40-44","Kalmar",0,"Men"
"532",2014,"45-49","Kalmar",0,"Men"
"533",2014,"50-54","Kalmar",26.01,"Men"
"534",2014,"55-59","Kalmar",39.32,"Men"
"535",2014,"60-64","Kalmar",99.77,"Men"
"536",2014,"65-69","Kalmar",273.33,"Men"
"537",2014,"70-74","Kalmar",321.85,"Men"
"538",2014,"75-59","Kalmar",523.78,"Men"
"539",2014,"80-84","Kalmar",883.28,"Men"
"540",2014,"85+","Kalmar",1285.11,"Men"
"541",2014,"0-4","Gotland",0,"Men"
"542",2014,"5-9","Gotland",0,"Men"
"543",2014,"10-14","Gotland",0,"Men"
"544",2014,"15-19","Gotland",0,"Men"
"545",2014,"20-24","Gotland",0,"Men"
"546",2014,"25-29","Gotland",0,"Men"
"547",2014,"30-34","Gotland",0,"Men"
"548",2014,"35-39","Gotland",0,"Men"
"549",2014,"40-44","Gotland",0,"Men"
"550",2014,"45-49","Gotland",0,"Men"
"551",2014,"50-54","Gotland",0,"Men"
"552",2014,"55-59","Gotland",49.25,"Men"
"553",2014,"60-64","Gotland",240.5,"Men"
"554",2014,"65-69","Gotland",92.1,"Men"
"555",2014,"70-74","Gotland",174.52,"Men"
"556",2014,"75-59","Gotland",555.04,"Men"
"557",2014,"80-84","Gotland",693.48,"Men"
"558",2014,"85+","Gotland",1372.21,"Men"
